Author_name,count,Affliation, Profile_url
Sijia Liu,13,IBM Research,http://sliu17.mysite.syr.edu/index.htm
_Arjun Nitin Bhagoji,8,Princeton University,http://www.princeton.edu/~abhagoji/
Muhammad Usama,7,
_Tianyu Pang,10,Tsinghua University,
Andras Rozsa,9,Verisk AI_Verisk Analytics,
Hossein Hosseini,9,Qualcomm AI,http://scholar.google.com/citations?user=w54lXBMAAAAJ&hl=en
_Chaowei Xiao,11,University of Michigan_Ann Arbor,http://www_personal.umich.edu/~xiaocw/
Dan Hendrycks,8,UC Berkeley,https://people.eecs.berkeley.edu/~hendrycks/
Wieland Brendel,7,Bethge lab,
Danilo Vasconcellos Vargas,7,Kyushu University_Japan,
_Huan Zhang,24,UCLA,https://www.huan_zhang.com/
Hongge Chen,8,MIT,https://scholar.google.com/citations?user=KFtsQvIAAAAJ&hl=en
_ Kaidi Xu,8,Northeastern University,https://scholar.google.com/citations?user=lYK0wlsAAAAJ&hl=en
Cihang Xie,10,John Hopkins university,https://cihangxie.github.io/
Vahid Behzadan,7,University of New Haven,http://vbehzadan.com/
_Logan Engstrom,10,MIT,http://loganengstrom.com
Jonathan Uesato,8,MIT,
*Nicholas Carlini,16
Andrew Ilyas,9,MIT,http://andrewilyas.com/
_Yinpeng Dong,11,Tsinghua University,http://ml.cs.tsinghua.edu.cn/~yinpeng/
Li Chen,8,Intel Labs,
*Ian Goodfellow,23
_*Yash Sharma,11, University of Tübingen,https://www.yash_sharma.com/
Faiq Khalid,7,Vienna University of Technology
Tsui_Wei Weng,9,MIT,https://lilyweng.github.io
Xiaowei Huang,8,University of Liverpool,https://cgi.csc.liv.ac.uk/~xiaowei/
Matthias Hein,12,University of Tübingen,https://www.ml.uni_saarland.de/jobs.htm
Jianyu Wang,8,Baidu Research,http://www.jianyuwang.org/
Battista Biggio,21,University of Cagliari,https://pralab.diee.unica.it/en/BattistaBiggio
Seyed_Mohsen Moosavi_Dezfooli,10,EPFL,https://people.epfl.ch/seyed.moosavi?lang=en
*Nicolas Papernot,20
Davide Maiorca,8,University of Cagliari,https://pralab.diee.unica.it/en/DavideMaiorca
Pin_Yu Chen,27,IBM,https://researcher.watson.ibm.com/researcher/view.php?person=ibm_Pin_Yu.Chen
Ambra Demontis,7,University of Cagliari,https://pralab.diee.unica.it/en/AmbraDemontis
Justin Gilmer,7,Google Brain,https://www.linkedin.com/in/jmgilmer
*Dimitris Tsipras,8,MIT,http://people.csail.mit.edu/tsipras/
Anish Athalye,7,MIT,https://www.anish.io/
Alexey Kurakin,8,Google Brain,http://kurakin.me/
Alhussein Fawzi,10,Google DeepMind,http://www.alhusseinfawzi.info/
Jonas Rauber,10, Max Planck Research School for Intelligent Systems in Tübingen,https://jonasrauber.de/
*Aleksander Madry,9,MIT,https://people.csail.mit.edu/madry/
Jan Hendrik Metzen,7,Bosch Center for Artificial Intelligence
*Bo Li,27,University of Illinois at Urbana_Champaign
,https://aisecure.github.io/
Tom Goldstein,9
Robert Stanforth,8,DeepMind
Terrance E. Boult,9,University of Colorado Colorado Springs,https://www.uccs.edu/cs/about/faculty/terrance_boult
Junaid Qadir,8
Marta Kwiatkowska,9,University of Oxford,https://www.cs.ox.ac.uk/people/marta.kwiatkowska/
David Wagner,9,University of California_Berkeley,https://people.eecs.berkeley.edu/~daw/
J. Zico Kolter,8,Carnegie Mellon University,http://zicokolter.com/
*Alan Yuille,8,Johns Hopkins University,http://www.cs.jhu.edu/~ayuille/
Jinfeng Yi,17,JD.com,http://jinfengyi.net/
Somesh Jha,14,University of Wisconsin Madison,http://pages.cs.wisc.edu/~jha/
_Hang Su,9,UMass Amherst,https://suhangpro.github.io/
Percy Liang,7,Standord,https://cs.stanford.edu/~pliang/
Atul Prakash,7,University of Michigan_Ann Habor,http://web.eecs.umich.edu/~aprakash/
Yevgeniy Vorobeychik,8,Washington University in St. Louis,http://vorobeychik.com/
Weiming Zhang,7,University of Science and Technology of China,http://staff.ustc.edu.cn/~zhangwm/
* David Evans,7,University of Virginia,http://www.cs.virginia.edu/~evans/
*Cho_Jui Hsieh,30,UCLA,http://web.cs.ucla.edu/~chohsieh/
Radha Poovendran,9,University of Washington
,https://people.ece.uw.edu/radha/index.html
Patrick McDaniel,14,Pennsylvania State University,http://patrickmcdaniel.org/
Jun Zhu,17,Tsinghua University,http://ml.cs.tsinghua.edu.cn/~jun/index.shtml
Fabio Roli,16,University of Cagliari
,https://pralab.diee.unica.it/en/FabioRoli
Giorgio Fumera,7,University of Cagliari
,https://pralab.diee.unica.it/en/GiorgioFumera
Yanjun Qi,7, University of Virginia,https://www.cs.virginia.edu/yanjun/
Dawn Song,19,University of California_Berkeley	,https://people.eecs.berkeley.edu/~dawnsong/
Matthias Bethge,9,university of tuebingen,http://bethgelab.org/
Prateek Mittal,8,Princeton University,https://www.princeton.edu/~pmittal/
Michael Backes,7, Saarland University,https://www.infsec.cs.uni_saarland.de/~backes/
*R. Venkatesh Babu,8,VAL_IISC,http://val.serc.iisc.ernet.in/valweb/people.html
Luca Daniel,8,MIT ,http://www.mit.edu/~dluca/
Pascal Frossard,10,EPFL,https://lts4.epfl.ch/people/people_current/frossard_2/
Nenghai Yu,7,University of Science and Technology of China,http://staff.ustc.edu.cn/~ynh/
Giorgio Giacinto,7,University of Cagliari,https://pralab.diee.unica.it/en/GiorgioGiacinto
Yanzhi Wang,11,Northeastern University,https://web.northeastern.edu/yanzhiwang/
Suman Jana,10, Columbia University,cs.columbia.edu/~suman/
* Xue Lin,10, Northeastern University,https://web.northeastern.edu/xuelin/
Pushmeet Kohli,10,GoogleAI,https://ai.google/research/people/105667/
Muhammad Shafique,7 ,Vienna University of Technology,https://ti.tuwien.ac.at/ecs/people/shafique/publications
